Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
22/08/2025,ACCESS,16.40,5.20,16.37,16.37,16.37,16.37,0.9000,0.00,16.37,237.00,"3,879.69",2025-08-23 12:30:53
22/08/2025,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.00,5.06,0.00,12.00,60.72,2025-08-23 12:30:53
22/08/2025,AGA,37.00,37.00,37.00,37.00,37.00,37.00,0.5500,37.00,0.00,0.55,0.55,2025-08-23 12:30:53
22/08/2025,**ALW**,0.10,0.10,0.10,0.10,0.10,0.10,0.1000,0.00,0.00,0.10,0.10,2025-08-23 12:30:53
22/08/2025,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.1000,8.89,0.00,0.10,0.10,2025-08-23 12:30:53
22/08/2025,ALLGH,6.12,6.12,6.12,6.12,6.12,6.12,0.0500,0.00,6.12,379.00,"2,319.48",2025-08-23 12:30:53
22/08/2025,BOPP,34.35,25.26,34.35,34.35,34.35,34.35,0.0900,34.40,0.00,0.09,0.09,2025-08-23 12:30:53
22/08/2025,CAL,0.80,0.35,0.50,0.50,0.50,0.50,13.1200,0.50,0.51,"27,630.00","13,815.00",2025-08-23 12:30:53
22/08/2025,CLYD,0.11,0.03,0.11,0.11,0.11,0.11,5.0600,0.11,0.00,0.00,0.00,2025-08-23 12:30:53
22/08/2025,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,37.0000,0.15,0.00,37.00,37.00,2025-08-23 12:30:53
22/08/2025,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.1000,0.02,0.00,0.10,0.10,2025-08-23 12:30:53
22/08/2025,DASPHARMA,0.38,0.38,0.38,0.38,0.38,0.38,8.8900,0.38,0.00,8.89,8.89,2025-08-23 12:30:53
22/08/2025,EGH,8.91,6.25,8.91,8.91,8.91,8.91,6.1200,8.98,0.00,0.00,0.00,2025-08-23 12:30:53
22/08/2025,EGL,2.90,1.98,2.90,2.90,2.90,2.90,34.2000,2.90,2.95,41.00,118.90,2025-08-23 12:30:53
22/08/2025,ETI,0.90,0.31,0.79,0.79,0.78,0.78,-0.01,0.74,0.78,"88,581.00","69,478.29",2025-08-23 12:30:53
22/08/2025,FML,4.41,3.70,4.41,4.41,4.41,4.41,0.0800,4.41,0.00,0.08,0.08,2025-08-23 12:30:53
22/08/2025,GCB,10.00,6.37,9.61,9.61,9.85,9.85,0.24,9.85,0.00,"11,571.00","113,974.35",2025-08-23 12:30:53
22/08/2025,GGBL,6.05,5.50,6.05,6.05,6.05,6.05,0.0200,5.46,6.05,667.00,"4,035.35",2025-08-23 12:30:53
22/08/2025,GOIL,2.26,1.52,2.23,2.23,2.26,2.26,0.03,2.26,0.00,"3,775.00","8,530.40",2025-08-23 12:30:53
22/08/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,7.6100,0.00,5.38,7.61,7.61,2025-08-23 12:30:53
22/08/2025,MTNGH,3.98,2.50,3.88,3.88,3.89,3.89,0.01,3.85,3.88,"834,708.00","3,244,740.24",2025-08-23 12:30:53
22/08/2025,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.9000,0.00,0.00,0.00,0.00,2025-08-23 12:30:53
22/08/2025,RBGH,1.10,0.60,1.10,1.10,1.09,1.09,-0.01,0.00,1.09,"20,312.00","22,140.08",2025-08-23 12:30:53
22/08/2025,SCB,28.00,23.00,28.00,28.00,28.00,28.00,0.00,28.00,0.00,2.00,56.00,2025-08-23 12:30:53
22/08/2025,SIC,1.14,0.27,1.05,1.05,1.05,1.05,6.0500,1.05,0.00,"9,445.00","9,917.25",2025-08-23 12:30:53
Daily Date,Share Code,,,,,,,,,,,,2025-08-23 12:30:53
