wdt_ID,Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
299651,17/02/2023,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2025-08-23 17:46:36
299652,17/02/2023,ACCESS,4.01,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.01,3.0,12.0,2025-08-23 17:46:36
299653,17/02/2023,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,0.0,5.06,0.0,0.0,2025-08-23 17:46:36
299654,17/02/2023,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,2025-08-23 17:46:36
299655,17/02/2023,ALW,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,2025-08-23 17:46:36
299656,17/02/2023,ASG,8.87,8.87,8.87,8.87,8.87,8.87,0.0,8.87,0.0,0.0,0.0,2025-08-23 17:46:36
299657,17/02/2023,BOPP,9.65,7.65,9.65,9.65,9.65,9.65,0.0,9.65,0.0,0.0,0.0,2025-08-23 17:46:36
299658,17/02/2023,CAL,0.65,0.51,0.51,0.51,0.51,0.51,0.0,0.46,0.51,24902.0,12700.02,2025-08-23 17:46:36
299659,17/02/2023,CLYD,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,0.0,2025-08-23 17:46:36
299660,17/02/2023,CMLT,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,2025-08-23 17:46:36
299661,17/02/2023,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.02,6.0,0.12,2025-08-23 17:46:36
299662,17/02/2023,DASPHARMA,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.4,0.0,0.0,2025-08-23 17:46:36
299663,17/02/2023,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,2025-08-23 17:46:36
299664,17/02/2023,EGH,6.64,6.64,6.64,6.64,6.64,6.64,0.0,0.0,5.98,12.0,71.76,2025-08-23 17:46:36
299665,17/02/2023,EGL,3.2,3.2,3.2,3.2,3.2,3.2,0.0,0.0,2.95,0.0,0.0,2025-08-23 17:46:36
299666,17/02/2023,ETI,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.15,0.0,0.0,2025-08-23 17:46:36
299667,17/02/2023,FML,3.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2025-08-23 17:46:36
299668,17/02/2023,GCB,3.94,3.15,3.15,3.15,3.15,3.15,0.0,0.0,3.15,5225.0,16458.75,2025-08-23 17:46:36
299669,17/02/2023,GGBL,2.05,1.68,1.68,1.68,1.68,1.68,0.0,0.0,1.68,10.0,16.8,2025-08-23 17:46:36
299670,17/02/2023,GLD,250.0,217.8,243.2,243.2,243.2,243.2,0.0,0.0,243.2,0.0,0.0,2025-08-23 17:46:36
299671,17/02/2023,GOIL,1.72,1.68,1.68,1.68,1.68,1.68,0.0,0.0,1.68,1168.0,1962.24,2025-08-23 17:46:36
299672,17/02/2023,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 17:46:36
299673,17/02/2023,IIL,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,2025-08-23 17:46:36
299674,17/02/2023,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,5.38,0.0,0.0,0.0,2025-08-23 17:46:36
299675,17/02/2023,MMH,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.0,2025-08-23 17:46:36
,Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 17:46:36
