Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,IsMonthStart,Daily_Price_Range,Price_Change_Pct,Volatility,Log_Volume,Volume_Change,Log_Value,Avg_Trade_Size,Price_Momentum_3d,Volume_Momentum_3d,Price_Volume_Trend,Bid_Ask_Spread,Bid_Ask_Spread_Pct,Price_Lag_1d,Volume_Lag_1d,Value_Lag_1d,Volatility_Lag_1d,Price_Lag_3d,Volume_Lag_3d,Value_Lag_3d,Volatility_Lag_3d,Price_Lag_5d,Volume_Lag_5d,Value_Lag_5d,Volatility_Lag_5d,Price_Lag_10d,Volume_Lag_10d,Value_Lag_10d,Volatility_Lag_10d,Price_MA_3d,Volume_MA_3d,Price_MA_5d,Volume_MA_5d,Price_MA_10d,Volume_MA_10d,Price_Momentum_1d,Volume_Momentum_1d,Future_Price,Future_Return,Target,Target_Class,Share_Code_Encoded
2025-05-13,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,5,13,1,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0,3,36
2025-02-05,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.0,2025-08-23 18:33:27,2025,2,5,2,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.9,-100.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0,3,39
2025-05-19,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,5,19,0,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0,3,36
2025-01-24,SIC,0.27,0.27,0.27,0.27,0.27,0.27,0.0,0.27,0.0,8.0,2.16,2025-08-23 18:33:27,2025,1,24,4,1,0,0,0.0,0.0,0.0,2.1972245773362196,0,1.1505720275988207,0.27,0,0,2.16,-0.27,-100.0,0.27,8.0,2.16,0.0,0.27,0.0,0.0,0.0,0.27,30.0,8.1,0.0,0.27,1.0,0.27,0.0,0.27,15.333333333333334,0.27,19.2,0.27,62.7,0.0,0.0,0.27,0.0,0,3,40
2024-10-14,SCB,22.1,17.53,22.1,22.1,22.1,22.1,0.0,22.1,0.0,0.0,0.0,2025-08-23 18:33:27,2024,10,14,0,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-22.1,-100.0,22.1,0.0,0.0,0.0,22.1,0.0,0.0,0.0,22.1,0.0,0.0,0.0,22.1,0.0,0.0,0.0,22.1,0.0,22.1,18.0,22.1,9.0,0.0,0.0,22.1,0.0,0,3,37
2025-06-05,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.0,2025-08-23 18:33:27,2025,6,5,3,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.9,-100.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0,3,39
2025-06-20,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,6,20,4,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0,3,36
2025-01-27,SCB,23.0,23.0,23.0,23.0,23.0,23.0,0.0,25.0,0.0,24.0,600.0,2025-08-23 18:33:27,2025,1,27,0,1,0,0,0.0,0.0,0.0,3.2188758248682006,0,6.398594934535208,25.0,0,0,552.0,-25.0,-100.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,8.0,23.0,4.8,23.0,2.4,0.0,0.0,23.0,0.0,0,3,37
2024-09-25,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2024,9,25,2,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0,3,34
2025-04-15,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,2025-08-23 18:33:27,2025,4,15,1,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0,3,19
